国家,行政区名称,Alpha,Beta,Sigma_km,"Corr(Y, λ)",p_value,显著
Yemen,As Sawma'ah,0.0,0.6877034107629966,149.99999527023417,0.0,0.5,
Syria,Duma,0.0,0.6914564442389243,150.0000015291315,0.0,0.5,
Syria,Yabrud,0.0,0.5946659540548367,150.00060931793476,0.0,0.5,
Syria,Baniyas,0.0,0.690832151787736,150.0000026545938,0.0,0.5,
Yemen,Az Zahir,0.0,0.7065401996978331,149.99999988874958,0.0,0.5,
Syria,Duraykish,0.0,0.5554763243585533,150.00087989943265,0.0,0.5,
Syria,Safita,0.0,0.548228412414852,150.00092396252876,0.0,0.5,
Syria,Tartus,0.0,0.6860110216257935,150.00000370314524,0.0,0.5,
Yemen,Al Buraiqeh,0.0,0.4659025383497418,149.9989754327405,0.0,0.5,
Yemen,Craiter,0.0,0.46580324224521086,149.99897470529396,0.0,0.5,
Yemen,Ahwar,0.0,0.4676211267069254,149.9989641514558,0.0,0.5,
Syria,Jableh,0.0,0.6910243870376949,150.00000248645145,0.0,0.5,
Syria,At-Tall,0.0,0.6926826708215228,150.00000247108144,0.0,0.5,
Syria,Qardaha,0.0,0.6864343530284669,150.00000448970545,0.0,0.5,
Syria,Al-Qutayfah,0.0,0.69453351402076,150.00000114940684,0.0,0.5,
Yemen,Na'man,0.0,0.6912920114587845,149.99999875380573,0.0,0.5,
Syria,An-Nabk,0.0,0.6929292495205035,150.0000020281688,0.0,0.5,
Yemen,Al Azariq,0.0,0.5926146682479911,149.99959853377743,0.0,0.5,
Yemen,Damt,0.0,0.4650508108317705,149.9990121353981,0.0,0.5,
Yemen,Ad Dahi,0.0,0.4670134529504082,149.9991670461136,0.0,0.5,
Yemen,Nati',0.0,0.6198768771002459,149.9997340034112,0.0,0.5,
Yemen,Jayshan,0.0,0.553087341738595,149.9993954051625,0.0,0.5,
Yemen,Khanfir,0.0,0.5486195884389616,149.99936707664892,0.0,0.49999777290121294,
Yemen,Lawdar,0.0,0.6916967129765161,149.99999907461319,0.0,0.5,
Yemen,Mudiyah,0.0,0.6940213242320968,149.99999880952657,0.0,0.5,
Yemen,Al A'rsh,0.0,0.6529318660164435,149.99986947548888,0.0,0.5,
Yemen,Al Bayda,0.0,0.5480905740316325,149.99934739542408,0.0,0.49999823251266284,
Yemen,Al Wazi'iyah,0.0,0.5446053687933141,149.99939503872457,0.0,0.5,
Palestine,Bandar-e-Lengeh,0.0,0.4648893303187677,149.99938263530012,0.0,0.5,
Yemen,As Salif,0.0,0.6910990685433377,149.99999912526428,0.0,0.5,
Yemen,Alluheyah,0.0,0.6947385023947433,149.99999881261567,0.0,0.5,
Yemen,Al Munirah,0.0,0.6595559323670038,149.99989735975322,0.0,0.5,
Yemen,Al Mina,0.0,0.6710105763195097,149.99999815501147,0.0,0.5,
Yemen,Al Marawi'ah,0.0,0.5970284289016311,149.99965782424147,0.0,0.5,
Yemen,Al Mansuriyah,0.0,0.39378371686087216,149.99767856153525,0.0,0.5,
Yemen,Al Hali,0.0,0.6942259612297261,149.99999896082252,0.0,0.5,
Yemen,Ad Durayhimi,0.0,0.6951140227248173,149.99999931243295,0.0,0.5,
Yemen,Al Humaydat,0.0,0.4652796065318379,149.99915483499876,0.0,0.5,
Yemen,Al Khalq,0.0,0.6218916619225342,149.99974719084682,0.0,0.5,
Yemen,Al Maslub,0.0,0.5506087672688715,149.99947537200813,0.0,0.5,
Yemen,Bart Al Anan,0.0,0.7134223292717724,149.99998280835246,0.0,0.5,
Yemen,Bura,0.0,0.4529214452310466,149.99910101829516,0.0,0.5,
Yemen,At Tuhayat,0.0,0.6897652051496244,149.99999891032593,0.0,0.5,
Yemen,Az Zuhrah,0.0,0.5540531020148345,149.99952195754983,0.0,0.499997864006004,
Yemen,Az Zaydiyah,0.0,0.46773647010153213,149.99918624274997,0.0,0.5,
Yemen,Bani Sa'd,0.0,0.46583126047674134,149.99911642809835,0.0,0.5,
Yemen,Milhan,0.0,0.46565198910494837,149.99912711463168,0.0,0.5,
Yemen,Al Wahdah,0.0,0.6827275214385983,149.99997758999834,0.0,0.5,
Yemen,As Sabain,0.0,0.6925753834413366,149.9999991099049,0.0,0.5,
Yemen,Assafi'yah,0.0,0.6187761840225402,149.99973693153132,0.0,0.5,
Yemen,At Tahrir,0.0,0.5460881871971122,149.99943315941482,0.0,0.5,
Yemen,Ath'thaorah,0.0,0.6909199089160645,149.99999825650661,0.0,0.5,
Yemen,Az'zal,0.0,0.6908802627661579,149.9999968713352,0.0,0.5,
Yemen,Bani Al Harith,0.0,0.6917138448163848,149.99999820862266,0.0,0.4999999327433606,
