国家,行政区名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
Yemen,Khabb wa ash Sha'af,0.10869979695936667,0.6669644498592001,0.1640320913317854,0.0006036575148464229,✓,24
Lebanon,Beirut,0.10796690626649665,0.8805852073484556,0.21783546335542672,1e-10,✓,27
Yemen,Ath'thaorah,0.10712112862445487,0.7558696371001825,0.1747645973255403,1.9484785808709937e-06,✓,22
Yemen,Sahar,0.10497141251817417,0.868905025502822,0.3450123324147468,1e-10,✓,17
Yemen,Al Marawi'ah,0.10352158050241485,0.6666598792775156,0.09207377262667188,0.0382978703373138,✓,3
Yemen,Sabir Al Mawadim,0.09941168376224678,0.817100053027048,0.283117304504048,7.230238330269145e-08,✓,27
Palestine,Hebron,0.09802508374238393,0.1685886303326939,0.09399378847388944,0.03656144377086129,✓,17
Yemen,Merkhah Al Ulya,0.09786768338827122,1e-06,0.0978660535200378,0.06066990906285413,,9
Lebanon,Chouf,0.09747514024632392,0.8869058884566517,0.32509195043648476,1e-10,✓,23
Syria,Zabadani,0.09628618895294343,0.8627007641945744,0.27882132940740517,1.2396489945665223e-09,✓,23
Syria,Ra's al-'Ayn,0.0962816965879919,0.8718142653281398,0.3376079235132863,1e-10,✓,308
Yemen,Amran,0.09558771086192545,0.8003607901897386,0.09949013186788071,0.02631509852055669,✓,2
Yemen,Saqayn,0.09505223930248623,0.8533016844834908,0.24218510930284634,6.225346024196776e-05,✓,7
Israel,Golan,0.09045232796632764,0.8987527083435919,0.4015179193045229,1e-10,✓,309
Syria,Manbij,0.0893083240210471,0.8866560021305239,0.3310345535951361,1e-10,✓,397
Yemen,Bani Hushaysh,0.08912531819702933,0.8967040776941841,0.3282412584775214,1e-10,✓,31
Yemen,Ain,0.08673543797588533,0.6902293463431611,0.12875074489791277,0.020323534648933606,✓,6
Yemen,Majzar,0.08623842870416026,0.8855475004143633,0.2612125801239834,2.9742940554911e-08,✓,16
Yemen,Al Qabbaytah,0.08524543283894224,1e-06,0.060481003180015834,0.07731583319130286,,10
Yemen,Al Dhaher,0.08524414091637617,1e-06,0.05284300297601848,0.07731592300389734,,10
Syria,Abu Kamal,0.0847638314758376,0.6191429316672955,0.10260433460970846,0.0008253035313914303,✓,155
Israel,Jerusalem,0.08473928987767121,0.7565311979246282,0.16730806018942396,1.7133302976479747e-05,✓,23
Yemen,Bani Matar,0.08358382334684636,0.8696506047033739,0.327031552320019,1.7701208832043847e-09,✓,25
Yemen,Abs,0.08269210637166013,1e-06,0.1217764761336064,0.04413970392865163,✓,11
Yemen,Al Hazm,0.08032644225104481,0.9280384823521517,0.20452659944027057,4.3654416948535335e-06,✓,18
Syria,Izra',0.07957754092649086,0.04509673642953286,0.14337910159232226,0.0013028756767522465,✓,147
Syria,Qatana,0.07943606071445958,0.5014313658793951,0.10156305048360514,0.012495864238535104,✓,27
Yemen,Monabbih,0.07932570196825525,0.6100769224933966,0.08429492485219543,0.012210994703024503,✓,34
Lebanon,Batroun,0.07906919082626918,0.8333013793005087,0.08809745914838338,0.033177030854344314,✓,2
Yemen,Al Jabin,0.07906918707448929,0.8333013800484897,0.08809745930890989,0.03317706926342895,✓,2
Yemen,As Salif,0.07876575919553655,0.8518885888006662,0.19392325386027326,1.1865917414755067e-06,✓,43
Syria,Al-Qutayfah,0.07743617874273508,0.849482615748235,0.19233669640911497,0.00024159159471920377,✓,11
Syria,Afrin,0.07663271123199157,0.8624909070054327,0.16769211860465053,3.1993530047458307e-09,✓,161
Yemen,Bani Al Harith,0.07661205487119721,0.903928058415463,0.16493663415168122,1.3370110574228988e-10,✓,29
Syria,Ar-Raqqah,0.07555980496313648,0.8373395134127711,0.1603535834053527,6.792296452284852e-06,✓,227
Yemen,As Silw,0.0751489944384203,0.8954930252645269,0.15743372734688932,0.0009275292373107646,✓,4
Yemen,As Sawma'ah,0.07496359174139564,0.6695086813881537,0.04287981655726095,0.050615866014965094,,7
Yemen,Marib City,0.07495583836221197,0.7569812174156605,0.07979635493331158,0.024031555100348323,✓,8
Lebanon,Kasrouane,0.07473258907124028,0.9167387475295715,0.20076240525893416,1.0470590949829273e-08,✓,12
Yemen,Hays,0.0728041129785094,0.8300453526186012,0.23691253695657416,2.5446233125059337e-06,✓,45
Syria,Qardaha,0.07200587729680351,1e-06,0.13936024373332434,0.02966407880787475,✓,13
Yemen,Zabid,0.07191282669781762,0.6665518804307595,0.06479734643065554,0.07779070341069039,,4
