区ID,区名称,州名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
254,Baryshivs'kyi,Kiev,0.07817751250571672,0.8936276481901584,0.09526307194492145,0.0001685312826415486,True,4
220,Khersons'ka,Kherson,0.0780867647084722,0.9200018639965719,0.6327098354400384,1e-10,True,2828
596,Vasylivs'kyi,Zaporizhia,0.07807107260909286,0.9129726967267098,0.5366821813959828,1e-10,True,1923
29,Horodnians'kyi,Chernihiv,0.07800110756047425,0.8817309083566978,0.2512996470206109,1e-10,True,370
344,Briankivs'ka,Luhans'k,0.07761259556828783,0.666663446781402,0.04823997981986066,0.03612832177883851,True,4
280,Vasyl'kivs'kyi,Kiev,0.07737981337420798,0.869136807633904,0.24793947317954204,1.9041438981126646e-09,True,23
93,Mezhivs'kyi,Dnipropetrovs'k,0.07722892904903353,0.8925906914919659,0.597074637693022,1e-10,True,108
282,Vyshhorods'kyi,Kiev,0.0770314965869525,0.8723934598512786,0.3570916264953205,1e-10,True,33
583,Kamians'ko-Dniprovs'kyi,Zaporizhia,0.07660897489567181,0.918311788600671,0.4518125465488825,1e-10,True,268
151,Shakhtars'kyi,Donets'k,0.07648162313689184,0.4995964136983566,0.0892136380343428,0.0064622013725293415,True,34
577,Berdians'ka,Zaporizhia,0.07608756443571328,0.8096115679885251,0.17303548087130063,1.7235612909116682e-07,True,79
384,Ochakivs'kyi,Mykolayiv,0.07573599577457521,0.9124794856307054,0.5126372949676613,1e-10,True,1024
490,Shostkins'ka,Sumy,0.07473132315368536,1e-06,0.07253167407977669,0.014274609576161557,True,70
582,Iakymivs'kyi,Zaporizhia,0.07409413969421365,1e-06,0.07409738157922031,0.05508338711727151,False,12
79,Simferopol's'ka,Crimea,0.07407851972167277,1e-06,0.0740973815792196,0.055083926448072584,False,12
440,Myrhorods'kyi,Poltava,0.07367992025212829,0.49888045600457737,0.08479028353160684,0.006286097408528535,True,42
212,Bilozers'kyi,Kherson,0.07337826520200134,0.8591266095344112,0.6732411448704245,1e-10,True,5855
39,Novhorod-Sivers'kyi,Chernihiv,0.07295705706352781,0.9262706663019169,0.49283699062071945,1e-10,True,1351
104,Pokrovs'kyi,Dnipropetrovs'k,0.07245419506444191,0.9092260787719412,0.30540148425548197,1e-10,True,166
478,Konotops'kyi,Sumy,0.07192690529664275,0.9002386849444874,0.24632429632662536,1e-10,True,58
214,Heniches'kyi,Kherson,0.07169491535987933,0.49210968160404844,0.08662763191828646,0.004536918527263734,True,37
255,Bilotserkivs'ka,Kiev,0.07062393714204407,0.6464996565922352,0.11749969739807432,0.006057298969872282,True,13
97,Novomoskovs'kyi,Dnipropetrovs'k,0.07054731490870983,0.760484262136857,0.09991996114318497,0.0005469781511755478,True,27
370,Tro‹ts'kyi,Luhans'k,0.07049484422888565,0.49062133734069613,0.07166079853690412,0.013793833367310881,True,25
412,Odes'ka,Odessa,0.07042423172372896,0.8659844192095033,0.22292573751181646,1e-10,True,326
313,Znamians'kyi,Kirovohrad,0.06926575774399794,0.8571514806669528,0.08380287808356295,0.01856754812169681,True,2
600,Zaporiz'ka,Zaporizhia,0.06881729392631979,0.886996867857307,0.2825185738670485,1e-10,True,419
197,Lozivs'ka,Kharkiv,0.0681525882295753,0.9171468144835266,0.3994073605475023,1e-10,True,42
136,Mar‹ns'kyi,Donets'k,0.0660649008735705,0.9143520575039946,0.7739354732790389,1e-10,True,5087
611,Korostens'ka,Zhytomyr,0.06413975808189085,0.9045446206602358,0.2899795290943627,1.900873403126724e-09,True,15
587,Mykhailivs'kyi,Zaporizhia,0.06388737613048688,0.891344182581434,0.16596841341034804,1.641144997677202e-10,True,79
68,Ievpatoriis'ka,Crimea,0.0638349998911383,0.295920445820782,0.05250223685088395,0.05640649497835443,False,16
266,Ivankivs'kyi,Kiev,0.0628471355662878,0.9016906118547624,0.17349503916336048,6.38318748343858e-05,True,6
609,Chudnivs'kyi,Zhytomyr,0.06272816237426208,0.8832607257291057,0.12164083554602746,0.0002083467942221584,True,7
227,Velykolepetys'kyi,Kherson,0.06271870754184863,0.9336193915254998,0.26681558441975817,1e-10,True,67
110,Tomakivs'kyi,Dnipropetrovs'k,0.06249384661742404,0.9268391335485884,0.31893742986488555,1e-10,True,444
135,Maki‹vs'ka,Donets'k,0.06184065382430627,0.9329830642946676,0.5816607886581022,1e-10,True,482
76,Rozdol'nens'kyi,Crimea,0.06120946884174396,0.5000012949213795,0.05058476871160578,0.07552043611973686,False,7
378,Kazanetskyi,Mykolayiv,0.06096467815576286,0.9320148077985956,0.32067202382089655,1e-10,True,23
183,Borivs'kyi,Kharkiv,0.0607203755822107,0.9320572696250836,0.33322825727495275,1e-10,True,603
213,Chaplyns'kyi,Kherson,0.06044236256796676,0.8741711940358768,0.23053207477755716,1.4146594395914036e-08,True,34
119,Dobropil's'kyi,Donets'k,0.059848725727603136,0.9365839627036162,0.44520585724724615,1e-10,True,149
363,Slovianoserbs'kyi,Luhans'k,0.05780508033887823,0.9320461382648346,0.24225248035439723,1e-10,True,37
286,Holosiïvs'kyi,Kiev City,0.05770128139561626,0.4966497414993488,0.07776355735219352,0.022559521919625403,True,31
105,Shyrokivs'kyi,Dnipropetrovs'k,0.05621317537690845,0.9181680893739251,0.39593034866920557,1e-10,True,63
586,Melitopol's'kyi,Zaporizhia,0.05557563647224936,0.9268703240741278,0.29859109806424733,1e-10,True,141
132,Krasnoarmiis'kyi,Donets'k,0.05465658671096384,0.9453915940260854,0.6364961748210177,1e-10,True,1530
590,Polohivs'kyi,Zaporizhia,0.053895305018859335,0.9272878425407827,0.2916990320146671,1e-10,True,302
125,Ienakiievs'ka,Donets'k,0.05234460281382716,0.8864428807406884,0.2319607380635963,1e-10,True,49
188,Iziums'ka,Kharkiv,0.05184453402848607,0.9352745858175837,0.30988630808706197,1e-10,True,106
